CANMOREID,NMRSNAME,ALTNAME,SITETYPE,COUNTY,COUNCIL,PARISH,ACCURACY,URL,LINK,XCOORD,YCOORD,archaeology,EX,EV,WB,EXC_19C,EXC_1900_1950,EXC_1951_1999,EXC_post2000,NOTES,REFS
22585,"DUINE, ARDFERN",FORT,"DUN (PREHISTORIC)(POSSIBLE), FORTIFIED HOUSE (MEDIEVAL)(POSSIBLE)",ARGYLL,ARGYLL AND BUTE,CRAIGNISH,NGR given to the nearest 10m,https://canmore.org.uk/site/22585/,https://canmore.org.uk/site/22585/,179190,702800,['watching brief'],0,0,1,,,,,Watching Brief (6 April 2017) nothing of archaeological significance was recorded.,"Lewis, J.ˇ(2018)ˇArdfern, Watching brief, Discovery Excav Scot, New, vol. 18, 2017. Cathedral Communications Limited, Wiltshire, England. Page(s): 37"
22590,"SEIL, CAMUSLAICH",ARDENCAPLE,DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILBRANDON AND KILCHATTAN,NGR given to the nearest 1m,https://canmore.org.uk/site/22590/,https://canmore.org.uk/site/22590/,177110,718611,None,0,0,0,,,,,,
21421,"TIREE, DUN CEANN A BHAIGH",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21421/,https://canmore.org.uk/site/21421/,99210,745390,"['trench', 'trenches']",0,0,0,,,,,robber-trenches,
21423,"TIREE, DUN BEANNAIG",,"DUN (PERIOD UNASSIGNED), MIDDEN (PERIOD UNASSIGNED), HAMMERSTONE(S) (PERIOD UNASSIGNED), UNIDENTIFIED POTTERY (PERIOD UNASSIGNED)",ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21423/,https://canmore.org.uk/site/21423/,95540,748060,None,0,0,0,,,,,,
21446,"TIREE, DUN HANAIS",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21446/,https://canmore.org.uk/site/21446/,93310,745440,None,0,0,0,,,,,,
21447,"TIREE, DUN BORAIGE BIGE",,"DUN (PERIOD UNASSIGNED), HAMMERSTONE(S) (PERIOD UNASSIGNED), UNIDENTIFIED POTTERY (PERIOD UNASSIGNED)",ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21447/,https://canmore.org.uk/site/21447/,94940,747570,None,0,0,0,,,,,,
21448,"TIREE, CNOC CHARRASTAOIN",,DUN (PERIOD UNASSIGNED)(POSSIBLE),ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21448/,https://canmore.org.uk/site/21448/,94220,747100,None,0,0,0,,,,,,
22948,GALLANACH,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILMORE AND KILBRIDE,NGR given to the nearest 1m,https://canmore.org.uk/site/22948/,https://canmore.org.uk/site/22948/,182296,726000,None,0,0,0,,,,,,
22057,"DUN CHOINICHEAN, MULL",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/22057/,https://canmore.org.uk/site/22057/,144090,743120,['excavation'],0,0,0,,,,,,
22611,"SEIL, DUN MUCAIG",,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILBRANDON AND KILCHATTAN,NGR given to the nearest 1m,https://canmore.org.uk/site/22611/,https://canmore.org.uk/site/22611/,175156,715422,['excavated'],0,0,0,,,,,,
21774,"MULL, TORR A' CHAISTEIL",ARDFENAIG HOUSE,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILFINICHEN AND KILVICKEON,NGR given to the nearest 10m,https://canmore.org.uk/site/21774/,https://canmore.org.uk/site/21774/,134310,722740,None,0,0,0,,,,,,
21775,"MULL, ERRAID, DUN AOIDHEAN",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILFINICHEN AND KILVICKEON,NGR given to the nearest 10m,https://canmore.org.uk/site/21775/,https://canmore.org.uk/site/21775/,130690,720270,None,0,0,0,,,,,,
23079,"LISMORE, PARK",,DUN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,ARGYLL AND BUTE,LISMORE AND APPIN (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/23079/,https://canmore.org.uk/site/23079/,188776,745889,None,0,0,0,,,,,,
22341,"ARDNAMURCHAN, ALLT SORDAIL",,DUN (PERIOD UNASSIGNED),ARGYLL,HIGHLAND,ARDNAMURCHAN,NGR given to the nearest 10m,https://canmore.org.uk/site/22341/,https://canmore.org.uk/site/22341/,155290,769290,None,0,0,0,,,,,,
21482,"TIREE, AN DUN, EILEAN DUBH",BEINN CEANN A' MHARA,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21482/,https://canmore.org.uk/site/21482/,93600,741160,None,0,0,0,,,,,,
21483,"TIREE, DUN NAN GALL",CEANN A' MHARA,"DUN (PERIOD UNKNOWN)(POSSIBLE), FORT (PERIOD UNASSIGNED), SHIELING HUT(S) (PERIOD UNKNOWN)",ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21483/,https://canmore.org.uk/site/21483/,93520,740880,['excavation'],0,0,0,,,,,,
21486,"TIREE, LIBRIG MHOR",,DUN (PERIOD UNASSIGNED)(POSSIBLE),ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21486/,https://canmore.org.uk/site/21486/,109750,747350,None,0,0,0,,,,,,
22358,"RUBHA NA H-UAMHA, ARDNAMURCHAN",,DUN (PERIOD UNASSIGNED),ARGYLL,HIGHLAND,ARDNAMURCHAN,NGR given to the nearest 10m,https://canmore.org.uk/site/22358/,https://canmore.org.uk/site/22358/,156570,771240,None,0,0,0,,,,,,
22955,DUNACH,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILMORE AND KILBRIDE,NGR given to the nearest 1m,https://canmore.org.uk/site/22955/,https://canmore.org.uk/site/22955/,186849,724931,None,0,0,0,,,,,,"Robertson, A S.ˇ(1970a)ˇ'Roman finds from non-Roman sites in Scotland', Britannia, vol. 1, 1970. Page(s): table 1"
22970,DUNAN MOLACH,ARDORAN,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILMORE AND KILBRIDE,NGR given to the nearest 1m,https://canmore.org.uk/site/22970/,https://canmore.org.uk/site/22970/,184525,724163,None,0,0,0,,,,,,
22618,"LUING, BALLYCASTLE",'NORTH FORT',"DUN (PREHISTORIC), FORT (PREHISTORIC)(POSSIBLE)",ARGYLL,ARGYLL AND BUTE,KILBRANDON AND KILCHATTAN,NGR given to the nearest 1m,https://canmore.org.uk/site/22618/,https://canmore.org.uk/site/22618/,175231,712058,"['excavation', 'dug']",0,0,0,,,,,"Though no excavation has been documented, the entrance passage has been cleared",
22632,DUN FADAIDH,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILBRANDON AND KILCHATTAN,NGR given to the nearest 1m,https://canmore.org.uk/site/22632/,https://canmore.org.uk/site/22632/,177462,712964,None,0,0,0,,,,,,
22633,KILCHOAN LOCH,,DUN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,ARGYLL AND BUTE,KILBRANDON AND KILCHATTAN,NGR given to the nearest 10m,https://canmore.org.uk/site/22633/,https://canmore.org.uk/site/22633/,179600,714300,None,0,0,0,,,,,,
22987,"MINARD POINT, AN DUNAN",,DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILMORE AND KILBRIDE,NGR given to the nearest 1m,https://canmore.org.uk/site/22987/,https://canmore.org.uk/site/22987/,181869,723592,None,0,0,0,,,,,,
22498,"ARDNAMURCHAN, DUN AN EIDIDH, DUNEIRA",KENTRA BAY,DUN (PERIOD UNASSIGNED),ARGYLL,HIGHLAND,ARDNAMURCHAN,NGR given to the nearest 10m,https://canmore.org.uk/site/22498/,https://canmore.org.uk/site/22498/,164670,769270,None,0,0,0,,,,,,
22507,"LOCH SUNART, DUN GHALLAIN",CAMASINAS,"DUN (PERIOD UNASSIGNED), ENCLOSURE (PERIOD UNASSIGNED)(POSSIBLE), MIDDEN (PERIOD UNASSIGNED), WORKED OBJECT (PERIOD UNASSIGNED)",ARGYLL,HIGHLAND,ARDNAMURCHAN,NGR given to the nearest 10m,https://canmore.org.uk/site/22507/,https://canmore.org.uk/site/22507/,164760,760030,None,0,0,0,,,,,,
22514,"ARDNAMURCHAN, SHIELFOOT, THE TORR",,"DUN (PERIOD UNASSIGNED), FORT (PERIOD UNASSIGNED)",ARGYLL,HIGHLAND,ARDNAMURCHAN,NGR given to the nearest 10m,https://canmore.org.uk/site/22514/,https://canmore.org.uk/site/22514/,166220,770180,['excavation'],0,0,0,,,,,,
21805,"DUN BAN, TOSTARIE, MULL",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21805/,https://canmore.org.uk/site/21805/,138690,745240,None,0,0,0,,,,,,
21807,"DUN AISGAIN, MULL","DUN AISGAIN BROCH, ISLE OF MULL","BROCH (IRON AGE), DUN (PERIOD UNASSIGNED)",ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21807/,https://canmore.org.uk/site/21807/,137740,745240,None,0,0,0,,,,,,
21809,"DUN HAUNN, MULL",TRESHNISH,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21809/,https://canmore.org.uk/site/21809/,133430,747490,None,0,0,0,,,,,,
21816,"GOMETRA, TIGH AN DUINE",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21816/,https://canmore.org.uk/site/21816/,136940,740130,None,0,0,0,,,,,,
21830,"MULL, PORT LANGAMULL",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21830/,https://canmore.org.uk/site/21830/,138160,754020,None,0,0,0,,,,,,
21831,"MULL, PORT NA CAILLICH",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21831/,https://canmore.org.uk/site/21831/,135780,754080,None,0,0,0,,,,,,
22373,"GARVELLACHS, GARBH EILEACH, RUBHA MOR",,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,JURA,NGR given to the nearest 1m,https://canmore.org.uk/site/22373/,https://canmore.org.uk/site/22373/,166802,711793,None,0,0,0,,,,,,
22399,"MULL, DUNAN MOR",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,TOROSAY,NGR given to the nearest 10m,https://canmore.org.uk/site/22399/,https://canmore.org.uk/site/22399/,162550,723450,None,0,0,0,,,,,,
22403,"MULL, SCALLASTLE BAY",ALTERICH,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,TOROSAY,NGR given to the nearest 10m,https://canmore.org.uk/site/22403/,https://canmore.org.uk/site/22403/,168270,739230,None,0,0,0,,,,,,
22990,DUN BHLARAN,MINARD,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILMORE AND KILBRIDE,NGR given to the nearest 1m,https://canmore.org.uk/site/22990/,https://canmore.org.uk/site/22990/,182652,724160,None,0,0,0,,,,,,
22992,DUN MHIC RAONUILL,BARRNACARRY,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILNINVER AND KILMELFORD,NGR given to the nearest 1m,https://canmore.org.uk/site/22992/,https://canmore.org.uk/site/22992/,181435,723070,['excavation'],0,0,0,,,,,,
22996,DUN BACHLACH,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/22996/,https://canmore.org.uk/site/22996/,186929,738685,None,0,0,0,,,,,,
21974,"DUN A' GHEIRD, MULL","DUN NAN GEARD, DUN A' GEARD",GALLERIED DUN (IRON AGE),ARGYLL,ARGYLL AND BUTE,KILFINICHEN AND KILVICKEON,NGR given to the nearest 10m,https://canmore.org.uk/site/21974/,https://canmore.org.uk/site/21974/,140620,718890,None,0,0,0,,,,,,
23012,"LISMORE, SEAN DUN",,"DUN (LATER PREHISTORIC), ENCLOSURE (PERIOD UNKNOWN)",ARGYLL,ARGYLL AND BUTE,LISMORE AND APPIN (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/23012/,https://canmore.org.uk/site/23012/,184485,739945,['excavation'],0,0,0,,,,,,
23014,"LISMORE, KILCHERAN",,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,LISMORE AND APPIN (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/23014/,https://canmore.org.uk/site/23014/,182216,738344,['excavation'],0,0,0,,,,,,
23016,"LISMORE, FIART",,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,LISMORE AND APPIN (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/23016/,https://canmore.org.uk/site/23016/,180671,736880,None,0,0,0,,,,,,
22529,"RUBH' AIRD GHAMHSGAIL, ARISAIG",RUBH' ARD GHAUNSGAIL,"DUN (PERIOD UNASSIGNED), FORT (PERIOD UNASSIGNED)",INVERNESS-SHIRE,HIGHLAND,ARISAIG AND MOIDART,NGR given to the nearest 10m,https://canmore.org.uk/site/22529/,https://canmore.org.uk/site/22529/,169290,784000,None,0,0,0,,,,,,
22546,DUN GLAS,,DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,CRAIGNISH,NGR given to the nearest 10m,https://canmore.org.uk/site/22546/,https://canmore.org.uk/site/22546/,179470,706080,None,0,0,0,,,,,,
22556,"LUING, EILEAN AN ATHA",,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILBRANDON AND KILCHATTAN,NGR given to the nearest 1m,https://canmore.org.uk/site/22556/,https://canmore.org.uk/site/22556/,174838,707204,None,0,0,0,,,,,,
21834,"MULL, CALGARY PIER",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21834/,https://canmore.org.uk/site/21834/,136700,751510,None,0,0,0,,,,,,
21837,"MULL, CALGARY, BENNAN",CRUACH SLEIBHE,"DUN (PERIOD UNASSIGNED)(POSSIBLE), RIG AND FURROW (MEDIEVAL) - (POST MEDIEVAL), TOWNSHIP (PERIOD UNASSIGNED)",ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21837/,https://canmore.org.uk/site/21837/,137780,752220,None,0,0,0,,,,,,
22561,EILEAN NA NIGHINN,,DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,CRAIGNISH,NGR given to the nearest 10m,https://canmore.org.uk/site/22561/,https://canmore.org.uk/site/22561/,179660,702480,None,0,0,0,,,,,,
22565,DUN MHUILIG,,GALLERIED DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,CRAIGNISH,NGR given to the nearest 10m,https://canmore.org.uk/site/22565/,https://canmore.org.uk/site/22565/,177700,701870,['dug'],0,0,0,,,,,several large holes have been dug in it,
21845,"MULL, ALLT CILL CHRIOSD",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21845/,https://canmore.org.uk/site/21845/,136880,753280,None,0,0,0,,,,,,
21852,"MULL, DUN MHADAIDH",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/21852/,https://canmore.org.uk/site/21852/,139140,752600,None,0,0,0,,,,,,
21858,"MUCK, FANG MHOR",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,HIGHLAND,SMALL ISLES,NGR given to the nearest 1m,https://canmore.org.uk/site/21858/,https://canmore.org.uk/site/21858/,139629,778896,None,0,0,0,,,,,,
21402,VATERSAY,BHATARSAIGH,"DUN (PREHISTORIC), HAMMERSTONE(S) (PREHISTORIC), UNIDENTIFIED POTTERY (PERIOD UNASSIGNED)",INVERNESS-SHIRE,WESTERN ISLES,BARRA,NGR given to the nearest 10m,https://canmore.org.uk/site/21402/,https://canmore.org.uk/site/21402/,62710,794560,None,0,0,0,,,,,,
23165,BARR MOR,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILCHRENAN AND DALAVICH,NGR given to the nearest 1m,https://canmore.org.uk/site/23165/,https://canmore.org.uk/site/23165/,197790,710556,None,0,0,0,,,,,,
23176,BARGUILLEAN,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/23176/,https://canmore.org.uk/site/23176/,197960,728570,None,0,0,0,,,,,,
23180,DUNTANACHAN,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE),NGR given to the nearest 10m,https://canmore.org.uk/site/23180/,https://canmore.org.uk/site/23180/,196170,728200,None,0,0,0,,,,,,
21533,"TIREE, DUN IBRIG",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21533/,https://canmore.org.uk/site/21533/,102590,744400,None,0,0,0,,,,,,
21537,"TIREE, DUN HEANISH",,"BROCH (IRON AGE)(POSSIBLE), DUN (PERIOD UNASSIGNED)",ARGYLL,ARGYLL AND BUTE,TIREE,NGR given to the nearest 10m,https://canmore.org.uk/site/21537/,https://canmore.org.uk/site/21537/,103900,743360,None,0,0,0,,,,,,
21560,"COLL, TOTAMORE",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,COLL,NGR given to the nearest 10m,https://canmore.org.uk/site/21560/,https://canmore.org.uk/site/21560/,117620,757130,None,0,0,0,,,,,,
24443,DERRY,,DUN (PERIOD UNASSIGNED)(POSSIBLE),PERTHSHIRE,STIRLING,COMRIE (STIRLING),NGR given to the nearest 10m,https://canmore.org.uk/site/24443/,https://canmore.org.uk/site/24443/,263850,724680,None,0,0,0,,,,,,
22171,"EIGG, GALMISDALE",,DUN (PREHISTORIC),INVERNESS-SHIRE,HIGHLAND,SMALL ISLES,NGR given to the nearest 1m,https://canmore.org.uk/site/22171/,https://canmore.org.uk/site/22171/,148456,783809,None,0,0,0,,,,,,
22732,TUR A' BHODAICH,,DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILMARTIN,NGR given to the nearest 10m,https://canmore.org.uk/site/22732/,https://canmore.org.uk/site/22732/,184410,705970,None,0,0,0,,,,,,
22737,"AN DUN, BARRAVULLIN",,DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,CRAIGNISH,NGR given to the nearest 10m,https://canmore.org.uk/site/22737/,https://canmore.org.uk/site/22737/,181990,707360,None,0,0,0,,,,,,
22301,"KELLAN WOOD, MULL",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/22301/,https://canmore.org.uk/site/22301/,152910,741630,None,0,0,0,,,,,,
22302,"TORR NAM FIANN, KILLIECHRONAN, MULL",KILLICHRONAN,"DUN (PERIOD UNASSIGNED), ENCLOSURE (PERIOD UNASSIGNED), FARMSTEAD (PERIOD UNASSIGNED), SHIELING HUT(S) (POST MEDIEVAL)",ARGYLL,ARGYLL AND BUTE,KILNINIAN AND KILMORE,NGR given to the nearest 10m,https://canmore.org.uk/site/22302/,https://canmore.org.uk/site/22302/,153900,741570,None,0,0,0,,,,,,
22306,AULISTON POINT,,DUN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,HIGHLAND,MORVERN,NGR given to the nearest 1m,https://canmore.org.uk/site/22306/,https://canmore.org.uk/site/22306/,155463,757945,['trenches'],0,0,0,,,,,traces of robber trenches along its inner and outer margins,
22330,"MUNGOSDAIL CASTLE, PORT MOR, BONNAVOULIN",CNAPAIRD,DUN (PERIOD UNASSIGNED),ARGYLL,HIGHLAND,MORVERN,NGR given to the nearest 10m,https://canmore.org.uk/site/22330/,https://canmore.org.uk/site/22330/,156030,753000,None,0,0,0,,,,,,
25098,DUNALASTAIR,,DUN(S) (PERIOD UNASSIGNED)(POSSIBLE),PERTHSHIRE,PERTH AND KINROSS,FORTINGALL,NGR given to the nearest 1km,https://canmore.org.uk/site/25098/,https://canmore.org.uk/site/25098/,271000,758000,None,0,0,0,,,,,,
23189,CLACHADOW,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/23189/,https://canmore.org.uk/site/23189/,194410,727708,None,0,0,0,,,,,,
22744,CAISTEAL NAN COIN DUIBH,"MULLACH DUBH, CAISTEAL NAN CON DUIBH",GALLERIED DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,CRAIGNISH,NGR given to the nearest 10m,https://canmore.org.uk/site/22744/,https://canmore.org.uk/site/22744/,180000,707620,None,0,0,0,,,,,,
22884,"DALINTART, AN DUNAN",,DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILMORE AND KILBRIDE,NGR given to the nearest 1m,https://canmore.org.uk/site/22884/,https://canmore.org.uk/site/22884/,186244,729219,['trenches'],0,0,0,,,,,the approximate line of the outer face is indicated by robber trenches,
25644,DUNACREE,DUN,DUN (PERIOD UNASSIGNED)(POSSIBLE),PERTHSHIRE,PERTH AND KINROSS,DULL,NGR given to the nearest 100m,https://canmore.org.uk/site/25644/,https://canmore.org.uk/site/25644/,283300,748400,None,0,0,0,,,,,,
25645,DUNSKAIG,,DUN (PERIOD UNASSIGNED)(POSSIBLE),PERTHSHIRE,PERTH AND KINROSS,DULL,NGR given to the nearest 100m,https://canmore.org.uk/site/25645/,https://canmore.org.uk/site/25645/,284000,748100,None,0,0,0,,,,,,
25647,DUNTUIM,DUN,DUN (PERIOD UNASSIGNED)(POSSIBLE),PERTHSHIRE,PERTH AND KINROSS,DULL,NGR given to the nearest 100m,https://canmore.org.uk/site/25647/,https://canmore.org.uk/site/25647/,284400,748500,None,0,0,0,,,,,,
23204,DUN NEIL,DUN-NEIL,DUN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,ARGYLL AND BUTE,KILMORE AND KILBRIDE,NGR given to the nearest 1m,https://canmore.org.uk/site/23204/,https://canmore.org.uk/site/23204/,190323,729299,None,0,0,0,,,,,,
23650,BARR A' CHAISTEALAIN,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,GLENORCHY AND INISHAIL (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/23650/,https://canmore.org.uk/site/23650/,216215,727022,"['excavations', 'trench', 'watching briefs']",0,0,1,,,,,Watching Brief (9 October 2015). Nothing of archaeological significance was recorded,"Watson, W J.ˇ(1915)ˇ'Circular forts in Lorn and north Perthshire; with a note on the excavation of one at Borenich, Loch Tummel', Proc Soc Antiq Scot, vol. 49, 1914-15. Page(s): 27 RCAHMS Shelf Number: Per"
23787,CARN NAN DRUIDHNEACH,"GLENFINTAIG, CARNA DUA NACH",DUN (PERIOD UNASSIGNED),INVERNESS-SHIRE,HIGHLAND,KILMONIVAIG,NGR given to the nearest 10m,https://canmore.org.uk/site/23787/,https://canmore.org.uk/site/23787/,221240,786340,None,0,0,0,,,,,,
21587,"COLL, DUN AN ACHAIDH",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,COLL,NGR given to the nearest 10m,https://canmore.org.uk/site/21587/,https://canmore.org.uk/site/21587/,118330,754560,None,0,0,0,,,,,,
21590,"COLL, GORTON",DUN GHORTAIN,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,COLL,NGR given to the nearest 10m,https://canmore.org.uk/site/21590/,https://canmore.org.uk/site/21590/,117690,752940,None,0,0,0,,,,,,
21739,"MULL, DUN A' CHIABHAIG",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILFINICHEN AND KILVICKEON,NGR given to the nearest 10m,https://canmore.org.uk/site/21739/,https://canmore.org.uk/site/21739/,138780,718990,['trench'],0,0,0,,,,,trench left by stone-robbers following the inner line of the wall,
21751,"MULL, EILEAN AN T-SIONNAICH",,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILFINICHEN AND KILVICKEON,NGR given to the nearest 10m,https://canmore.org.uk/site/21751/,https://canmore.org.uk/site/21751/,135100,722810,None,0,0,0,,,,,,
22212,"MULL, SEAN DUN, KINLOCH",SEANN DUN,DUN (PERIOD UNASSIGNED),ARGYLL,ARGYLL AND BUTE,KILFINICHEN AND KILVICKEON,NGR given to the nearest 10m,https://canmore.org.uk/site/22212/,https://canmore.org.uk/site/22212/,153330,727900,None,0,0,0,,,,,,
22764,"CNOC A' CHAISTEIL, LERGYCHONIEBEAG",,DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,CRAIGNISH,NGR given to the nearest 10m,https://canmore.org.uk/site/22764/,https://canmore.org.uk/site/22764/,182890,708820,None,0,0,0,,,,,,
22771,DUN TOISEACH,"TORRAN FARM, LOCH AWE",DUN (PREHISTORIC),ARGYLL,ARGYLL AND BUTE,KILMARTIN,NGR given to the nearest 10m,https://canmore.org.uk/site/22771/,https://canmore.org.uk/site/22771/,188080,704750,None,0,0,0,,,,,,
23514,DUN MHUIRAGEUL,,DUN (LATER PREHISTORIC),ARGYLL,ARGYLL AND BUTE,GLENORCHY AND INISHAIL (ARGYLL AND BUTE),NGR given to the nearest 1m,https://canmore.org.uk/site/23514/,https://canmore.org.uk/site/23514/,201322,730080,None,0,0,0,,,,,,
25681,DUNTANLICH,AN DUN,DUN (PERIOD UNASSIGNED)(POSSIBLE),PERTHSHIRE,PERTH AND KINROSS,DULL,NGR given to the nearest 1km,https://canmore.org.uk/site/25681/,https://canmore.org.uk/site/25681/,285000,759000,None,0,0,0,,,,,,
25685,CEANN NA COILLE,,DUN (PERIOD UNASSIGNED),PERTHSHIRE,PERTH AND KINROSS,DULL,NGR given to the nearest 10m,https://canmore.org.uk/site/25685/,https://canmore.org.uk/site/25685/,280740,758590,None,0,0,0,,,,,,
25695,"DUNVORIST, LIMEKILN",,"BUILDING (PERIOD UNASSIGNED), DUN (PERIOD UNASSIGNED)(POSSIBLE), LIME KILN (PERIOD UNASSIGNED)",PERTHSHIRE,PERTH AND KINROSS,LOGIERAIT,NGR given to the nearest 10m,https://canmore.org.uk/site/25695/,https://canmore.org.uk/site/25695/,289040,750530,None,0,0,0,,,,,,
